,Migrant remittance inflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
46,Cote d'Ivoire,0,0,0,0,0,12.131794,14.228889,15.874328,22.157634,28.205874,32.184846,30.912873,28.909979,27.029436,24.945265,24.039373,35.806493,42.92323,42.639167,35.422276,44.44203,41.473639,0,57.564103,110,151,147,136,143,138,119,116,120.0043042,142,159.0089255,163.17383555447796,166.76161658700002,184.6925412,198.9162756,315.0781769,373.4775657,396.6036598,367.1071646,384.6692764,386.6992673,336.246816,341.9630119,385.73427739161593
47,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.1,375.3,544.7,667.662892,617.788176,625.142839,557.433464,640.873387,747.261089,438.809172,516.946929,665.329118,692.8079089,1611.396956,1853.996367,2065.174196,1890.465246,1900.19291,2091.659349,2084.70026,2174.198361,2148.732147,2103.620416,2189.504896,2269.838332409381
48,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.1284916,135.9664805,133.0558659,143.30167598000003,142.3743,148.418996,153.69039234013124
50,Cyprus,0,0,0,0,0,0,31.669029,50.965206,68.538521,76.457806,94.037222,83.050416,79.724704,78.231695,73.591164,71.504097,57.127077,63.81255,71.362928,68.941129,78.588907,65.672111,81.192559,79.412122,81.269263,48.627364,49.323279,47.674892,48.278804,49.728542,64.266411,104.998549,61.6289603,84.2798256,245.391644,104.8171813306725,104.491879,142.1945677,974.9164724,592.9181212999999,861.9092654,740.0925308999999,555.1374804,375.5072911,267.3417561,253.88996,321.081516,317.65016645922054
51,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,164,190.4236167,112.0286268,85.286111,349.7782826,318.5494537,296.7134627,257.2593095,334.8303719,498.7068492,814.3292547000001,1459.751009573096,1687.764985,1896.648328,1134.443633,1196.075195,1229.063882,1394.312633,1409.130137,1737.884337,2628.261738,2674.828096,3126.387968,3464.0378685440005
52,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,450,439,523,0,852,766,803,667,699,785,941,1080,866.7607817,982.4706923,822.8397762999999,1295.450668,1218.903517,1077.537577,1357.024095,1273.574159,1217.069021,1483.0218,1255.13152,1259.63712,1299.945508
53,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1216908,13.1216908,19.0354548,13.5493278,11.8894221,10.944120300000002,11.47303909,11.9400632,11.56306831,12.28892502,11.94569043,14.95602659,24.667878100000003,24.7410268,25.849505685878377,28.47159312,28.64039703,30.32843614,32.46661902,32.641049730999995,32.35970988,33.2656242,35.64575937,35.51637633599999,63.296196,63.296196,68.56199600895316
54,Dominica,0,0,0,0,0,0,1.3003549,3.2,5.8,8.7,8.6,8.5,7.5,9.4,10.8,11.1,7.70370367,11.77777777,16.11111127,13.37037038,13.92222223,4.959259299999999,5.17407404,13.73703703,13.28518493,13.43333323,13.75185133,13.88888923,14.62222234,15.644444600000002,16.307407350000002,17.1437037,17.40738879,17.816296240000003,23.1501336,21.77234444444445,22.075033332000004,22.48258519,22.68633333,22.13852222,22.8892963,22.870140003300005,23.24889852,23.55113408,23.55113408,23.55113408,23.55113408,24.10933019293901
55,Dominican Republic,25.1,14.5,24,24,26.8,28,112,124,132,161,183,183,190,195,205,242,225,273,289,301,315,330,347,758.5,797.8,839.7,962.7,1143.3,1409.8,1632,1840,1984,2195,2325,2501,2719.2,3053.8,3397,3605.5,3414.7,3887,4240.7,4262.1,4485.5,4810.4,5196.200064,5509.000064,5696.213581167971
